Month,Electric,Water,DueDate,Total
2025/02,176.41,126.4,14/03/2025,302.81
2025/01,155.06,24.13,,179.19
2024/12,153.04,114.69,,267.73
2024/11,199.26,108.98,,308.24
2024/10,161.32,101.91,,263.23
2024/09,183.01,121.46,,304.47
2024/08,207.55,114.11,,321.66
2024/07,189.7,20.13,,209.83
2024/06,136.78,118.32,,255.1
2024/05,236.25,72.17,,308.42
2024/04,290.45,160.39,,450.84
2024/03,174.72,174.33,,349.05
2024/02,137.7,128.49,,266.19
2024/01,190.02,69.59,,259.61
2023/12,204.07,120.31,,324.38
2023/11,184.8,131.4,,316.2
2023/10,167.76,75.61,,243.37
2023/09,189.85,108.64,,298.49
2023/08,201.54,117.63,,319.17
2023/07,197.12,95.38,,292.5
2023/06,209.44,133.74,,343.18
2023/05,160.16,117.98,,278.14
2023/04,126.06,113.04,,239.1
2023/03,178.48,129.02,,307.5
2023/02,171.77,127.66,,299.43
2023/01,163.27,109.48,,272.75
2022/12,104.74,126.47,,231.21
2022/11,89.58,123.93,,213.51
2022/10,101.04,74.35,,175.39
2022/09,90.64,117.3,,207.94
2022/08,79.89,10.88,,90.77
2022/07,107.39,77.49,,184.88
2022/06,93.64,136.39,,230.03
2022/05,110.73,117.51,,228.24
2022/04,106.68,124.78,,231.46
2022/03,126.43,131.85,,258.28
2022/02,119.72,162.89,,282.61
2025/03,146.98,98.89,11/04/2025,245.87
2025/04,138.53,73.82,13/05/2025,212.35
2025/05,159.77,127.33,11/06/2025,287.1
2025/06,161.23,128.69,14/07/2025,289.92
2025/07,66.95,133.3,12/08/2025,200.25
2025/08,122.53,105.15,11/09/2025,227.68
2025/09,123.98,114.46,14/10/2025,238.44
2025/10,149,63.32,11/11/2025,212.32
2025/11,152.21,117.33,10/12/2025,269.54
2025/12,149.89,119.98,12/01/2026,269.87
2026/01,167.35,101.63,11/02/2026,268.98
2026/02,149.59,123.5,10/03/2026,273.09
2026/03,169.09,140.97,14/4/2026,310.06
2026/04,181.9,111.7,12/05/2026,293.6
